index,DateTime,Open,Close,High,Low,Volume,Previous_Close
2487,2018-02-21 12:57:15-05:00,67.48,67.47,67.48,67.47,10,66.95
2488,2018-02-21 12:57:20-05:00,67.47,67.47,67.47,67.47,0,66.95
2489,2018-02-21 12:57:25-05:00,67.47,67.47,67.47,67.47,0,66.95
2490,2018-02-21 12:57:30-05:00,67.47,67.47,67.47,67.47,0,66.95
2491,2018-02-21 12:57:35-05:00,67.47,67.47,67.47,67.47,0,66.95
2492,2018-02-21 12:57:40-05:00,67.47,67.47,67.47,67.47,0,66.95
2493,2018-02-21 12:57:45-05:00,67.47,67.47,67.47,67.47,0,66.95
2494,2018-02-21 12:57:50-05:00,67.47,67.47,67.47,67.47,0,66.95
2495,2018-02-21 12:57:55-05:00,67.47,67.47,67.47,67.47,0,66.95
2496,2018-02-21 12:58:00-05:00,67.47,67.47,67.47,67.47,0,66.95
2497,2018-02-21 12:58:05-05:00,67.47,67.47,67.47,67.47,0,66.95
2498,2018-02-21 12:58:10-05:00,67.47,67.47,67.47,67.47,0,66.95
2499,2018-02-21 12:58:15-05:00,67.47,67.47,67.47,67.47,0,66.95
2500,2018-02-21 12:58:20-05:00,67.47,67.47,67.47,67.47,25,66.95
2501,2018-02-21 12:58:25-05:00,67.47,67.47,67.47,67.47,0,66.95
2502,2018-02-21 12:58:30-05:00,67.47,67.47,67.47,67.47,0,66.95
2503,2018-02-21 12:58:35-05:00,67.47,67.47,67.47,67.47,0,66.95
2504,2018-02-21 12:58:40-05:00,67.47,67.47,67.47,67.47,0,66.95
2505,2018-02-21 12:58:45-05:00,67.48,67.48,67.48,67.48,5,66.95
2506,2018-02-21 12:58:50-05:00,67.48,67.48,67.48,67.48,0,66.95
2507,2018-02-21 12:58:55-05:00,67.48,67.48,67.48,67.48,0,66.95
2508,2018-02-21 12:59:00-05:00,67.48,67.48,67.48,67.48,0,66.95
2509,2018-02-21 12:59:05-05:00,67.48,67.48,67.5,67.48,95,66.95
2510,2018-02-21 12:59:10-05:00,67.48,67.48,67.48,67.48,0,66.95
2511,2018-02-21 12:59:15-05:00,67.48,67.48,67.48,67.48,0,66.95
2512,2018-02-21 12:59:20-05:00,67.48,67.48,67.48,67.48,0,66.95
2513,2018-02-21 12:59:25-05:00,67.48,67.48,67.48,67.48,0,66.95
2514,2018-02-21 12:59:30-05:00,67.48,67.48,67.48,67.48,0,66.95
2515,2018-02-21 12:59:35-05:00,67.47,67.45,67.47,67.45,49,66.95
2516,2018-02-21 12:59:40-05:00,67.44,67.44,67.44,67.44,174,66.95
2517,2018-02-21 12:59:45-05:00,67.44,67.44,67.44,67.44,0,66.95
2518,2018-02-21 12:59:50-05:00,67.44,67.44,67.44,67.44,0,66.95
2519,2018-02-21 12:59:55-05:00,67.45,67.45,67.45,67.45,5,66.95
2520,2018-02-21 13:00:00-05:00,67.45,67.44,67.45,67.43,20,66.95
2521,2018-02-21 13:00:05-05:00,67.45,67.44,67.45,67.44,15,66.95
2522,2018-02-21 13:00:10-05:00,67.44,67.44,67.44,67.44,0,66.95
2523,2018-02-21 13:00:15-05:00,67.44,67.44,67.44,67.44,0,66.95
2524,2018-02-21 13:00:20-05:00,67.43,67.43,67.43,67.43,5,66.95
2525,2018-02-21 13:00:25-05:00,67.43,67.42,67.43,67.42,20,66.95
2526,2018-02-21 13:00:30-05:00,67.43,67.43,67.43,67.43,10,66.95
2527,2018-02-21 13:00:35-05:00,67.42,67.39,67.42,67.39,319,66.95
2528,2018-02-21 13:00:40-05:00,67.4,67.4,67.4,67.4,35,66.95
2529,2018-02-21 13:00:45-05:00,67.42,67.42,67.42,67.42,5,66.95
2530,2018-02-21 13:00:50-05:00,67.41,67.41,67.41,67.41,5,66.95
2531,2018-02-21 13:00:55-05:00,67.41,67.41,67.41,67.41,0,66.95
2532,2018-02-21 13:01:00-05:00,67.41,67.41,67.41,67.41,0,66.95
2533,2018-02-21 13:01:05-05:00,67.41,67.41,67.41,67.41,0,66.95
2534,2018-02-21 13:01:10-05:00,67.39,67.39,67.39,67.39,5,66.95
2535,2018-02-21 13:01:15-05:00,67.39,67.39,67.39,67.39,0,66.95
2536,2018-02-21 13:01:20-05:00,67.39,67.4,67.4,67.39,20,66.95
2537,2018-02-21 13:01:25-05:00,67.39,67.35,67.39,67.35,65,66.95
2538,2018-02-21 13:01:30-05:00,67.38,67.38,67.38,67.38,15,66.95
2539,2018-02-21 13:01:35-05:00,67.38,67.38,67.38,67.38,0,66.95
2540,2018-02-21 13:01:40-05:00,67.37,67.37,67.37,67.37,15,66.95
2541,2018-02-21 13:01:45-05:00,67.39,67.37,67.39,67.37,10,66.95
2542,2018-02-21 13:01:50-05:00,67.37,67.37,67.37,67.37,0,66.95
2543,2018-02-21 13:01:55-05:00,67.39,67.37,67.39,67.37,74,66.95
2544,2018-02-21 13:02:00-05:00,67.37,67.37,67.37,67.37,0,66.95
2545,2018-02-21 13:02:05-05:00,67.37,67.37,67.37,67.37,41,66.95
2546,2018-02-21 13:02:10-05:00,67.37,67.37,67.37,67.37,0,66.95
2547,2018-02-21 13:02:15-05:00,67.37,67.37,67.37,67.37,0,66.95
2548,2018-02-21 13:02:20-05:00,67.37,67.37,67.37,67.37,0,66.95
2549,2018-02-21 13:02:25-05:00,67.39,67.39,67.39,67.39,25,66.95
2550,2018-02-21 13:02:30-05:00,67.39,67.39,67.39,67.39,0,66.95
2551,2018-02-21 13:02:35-05:00,67.39,67.39,67.39,67.39,0,66.95
2552,2018-02-21 13:02:40-05:00,67.39,67.38,67.39,67.38,20,66.95
2553,2018-02-21 13:02:45-05:00,67.38,67.35,67.38,67.35,27,66.95
2554,2018-02-21 13:02:50-05:00,67.35,67.35,67.35,67.35,0,66.95
2555,2018-02-21 13:02:55-05:00,67.35,67.35,67.35,67.35,0,66.95
2556,2018-02-21 13:03:00-05:00,67.39,67.38,67.39,67.38,10,66.95
2557,2018-02-21 13:03:05-05:00,67.38,67.38,67.38,67.38,0,66.95
2558,2018-02-21 13:03:10-05:00,67.38,67.38,67.38,67.38,0,66.95
2559,2018-02-21 13:03:15-05:00,67.39,67.38,67.39,67.38,277,66.95
2560,2018-02-21 13:03:20-05:00,67.38,67.38,67.38,67.38,60,66.95
2561,2018-02-21 13:03:25-05:00,67.36,67.36,67.36,67.36,19,66.95
2562,2018-02-21 13:03:30-05:00,67.36,67.36,67.36,67.36,5,66.95
2563,2018-02-21 13:03:35-05:00,67.36,67.36,67.36,67.36,0,66.95
2564,2018-02-21 13:03:40-05:00,67.36,67.36,67.36,67.36,0,66.95
2565,2018-02-21 13:03:45-05:00,67.36,67.36,67.36,67.36,10,66.95
2566,2018-02-21 13:03:50-05:00,67.37,67.37,67.37,67.37,25,66.95
2567,2018-02-21 13:03:55-05:00,67.35,67.35,67.36,67.35,30,66.95
2568,2018-02-21 13:04:00-05:00,67.35,67.35,67.36,67.35,0,66.95
2569,2018-02-21 13:04:05-05:00,67.35,67.35,67.36,67.35,0,66.95
2570,2018-02-21 13:04:10-05:00,67.35,67.35,67.36,67.35,0,66.95
2571,2018-02-21 13:04:15-05:00,67.35,67.35,67.36,67.35,0,66.95
2572,2018-02-21 13:04:20-05:00,67.35,67.35,67.36,67.35,0,66.95
2573,2018-02-21 13:04:25-05:00,67.35,67.35,67.36,67.35,0,66.95
2574,2018-02-21 13:04:30-05:00,67.35,67.35,67.36,67.35,0,66.95
2575,2018-02-21 13:04:35-05:00,67.35,67.35,67.36,67.35,0,66.95
2576,2018-02-21 13:04:40-05:00,67.35,67.35,67.36,67.35,0,66.95
2577,2018-02-21 13:04:45-05:00,67.35,67.35,67.36,67.35,0,66.95
2578,2018-02-21 13:04:50-05:00,67.35,67.35,67.36,67.35,0,66.95
2579,2018-02-21 13:04:55-05:00,67.35,67.35,67.36,67.35,0,66.95
2580,2018-02-21 13:05:00-05:00,67.35,67.35,67.36,67.35,0,66.95
2581,2018-02-21 13:05:05-05:00,67.36,67.36,67.36,67.36,8,66.95
2582,2018-02-21 13:05:10-05:00,67.36,67.36,67.36,67.36,0,66.95
2583,2018-02-21 13:05:15-05:00,67.34,67.34,67.34,67.34,9,66.95
2584,2018-02-21 13:05:20-05:00,67.34,67.34,67.34,67.34,15,66.95
2585,2018-02-21 13:05:25-05:00,67.33,67.33,67.33,67.33,5,66.95
2586,2018-02-21 13:05:30-05:00,67.33,67.33,67.33,67.33,0,66.95
2587,2018-02-21 13:05:35-05:00,67.36,67.38,67.38,67.36,10,66.95
2588,2018-02-21 13:05:40-05:00,67.38,67.38,67.38,67.38,0,66.95
2589,2018-02-21 13:05:45-05:00,67.4,67.4,67.41,67.4,225,66.95
2590,2018-02-21 13:05:50-05:00,67.4,67.4,67.4,67.4,0,66.95
2591,2018-02-21 13:05:55-05:00,67.4,67.4,67.4,67.4,0,66.95
2592,2018-02-21 13:06:00-05:00,67.4,67.4,67.4,67.4,0,66.95
2593,2018-02-21 13:06:05-05:00,67.42,67.42,67.42,67.42,5,66.95
2594,2018-02-21 13:06:10-05:00,67.42,67.42,67.42,67.42,0,66.95
2595,2018-02-21 13:06:15-05:00,67.42,67.42,67.42,67.42,0,66.95
2596,2018-02-21 13:06:20-05:00,67.42,67.42,67.42,67.42,0,66.95
2597,2018-02-21 13:06:25-05:00,67.45,67.45,67.45,67.45,10,66.95
2598,2018-02-21 13:06:30-05:00,67.45,67.45,67.45,67.45,0,66.95
2599,2018-02-21 13:06:35-05:00,67.45,67.45,67.45,67.45,0,66.95
2600,2018-02-21 13:06:40-05:00,67.45,67.45,67.45,67.45,0,66.95
2601,2018-02-21 13:06:45-05:00,67.46,67.48,67.48,67.46,20,66.95
2602,2018-02-21 13:06:50-05:00,67.49,67.47,67.49,67.47,15,66.95
2603,2018-02-21 13:06:55-05:00,67.47,67.47,67.47,67.47,0,66.95
2604,2018-02-21 13:07:00-05:00,67.47,67.47,67.47,67.47,0,66.95
2605,2018-02-21 13:07:05-05:00,67.48,67.48,67.48,67.47,30,66.95
2606,2018-02-21 13:07:10-05:00,67.48,67.48,67.48,67.47,0,66.95
2607,2018-02-21 13:07:15-05:00,67.48,67.48,67.48,67.47,0,66.95
2608,2018-02-21 13:07:20-05:00,67.48,67.48,67.48,67.47,0,66.95
2609,2018-02-21 13:07:25-05:00,67.48,67.48,67.48,67.47,0,66.95
2610,2018-02-21 13:07:30-05:00,67.47,67.47,67.47,67.47,35,66.95
2611,2018-02-21 13:07:35-05:00,67.47,67.47,67.47,67.47,0,66.95
2612,2018-02-21 13:07:40-05:00,67.47,67.47,67.47,67.47,0,66.95
2613,2018-02-21 13:07:45-05:00,67.47,67.47,67.47,67.47,30,66.95
2614,2018-02-21 13:07:50-05:00,67.5,67.5,67.5,67.5,149,66.95
2615,2018-02-21 13:07:55-05:00,67.5,67.5,67.5,67.5,0,66.95
2616,2018-02-21 13:08:00-05:00,67.48,67.48,67.48,67.48,10,66.95
2617,2018-02-21 13:08:05-05:00,67.48,67.48,67.48,67.48,5,66.95
2618,2018-02-21 13:08:10-05:00,67.48,67.48,67.48,67.48,0,66.95
2619,2018-02-21 13:08:15-05:00,67.48,67.48,67.48,67.48,29,66.95
2620,2018-02-21 13:08:20-05:00,67.48,67.48,67.48,67.48,0,66.95
2621,2018-02-21 13:08:25-05:00,67.48,67.48,67.48,67.48,0,66.95
2622,2018-02-21 13:08:30-05:00,67.48,67.48,67.48,67.48,0,66.95
2623,2018-02-21 13:08:35-05:00,67.48,67.48,67.48,67.48,0,66.95
2624,2018-02-21 13:08:40-05:00,67.48,67.48,67.48,67.48,0,66.95
2625,2018-02-21 13:08:45-05:00,67.48,67.48,67.48,67.48,0,66.95
2626,2018-02-21 13:08:50-05:00,67.5,67.5,67.5,67.5,151,66.95
2627,2018-02-21 13:08:55-05:00,67.52,67.51,67.52,67.51,75,66.95
2628,2018-02-21 13:09:00-05:00,67.51,67.51,67.51,67.51,0,66.95
2629,2018-02-21 13:09:05-05:00,67.51,67.51,67.51,67.51,0,66.95
2630,2018-02-21 13:09:10-05:00,67.51,67.51,67.51,67.51,0,66.95
2631,2018-02-21 13:09:15-05:00,67.51,67.51,67.51,67.51,0,66.95
2632,2018-02-21 13:09:20-05:00,67.51,67.51,67.51,67.51,0,66.95
2633,2018-02-21 13:09:25-05:00,67.5,67.5,67.5,67.5,25,66.95
2634,2018-02-21 13:09:30-05:00,67.5,67.5,67.51,67.5,60,66.95
2635,2018-02-21 13:09:35-05:00,67.5,67.5,67.5,67.5,50,66.95
2636,2018-02-21 13:09:40-05:00,67.5,67.5,67.5,67.5,5,66.95
2637,2018-02-21 13:09:45-05:00,67.5,67.5,67.5,67.5,10,66.95
2638,2018-02-21 13:09:50-05:00,67.5,67.5,67.5,67.5,0,66.95
2639,2018-02-21 13:09:55-05:00,67.51,67.51,67.51,67.51,10,66.95
2640,2018-02-21 13:10:00-05:00,67.54,67.54,67.54,67.54,5,66.95
2641,2018-02-21 13:10:05-05:00,67.54,67.54,67.54,67.54,0,66.95
2642,2018-02-21 13:10:10-05:00,67.54,67.54,67.54,67.54,0,66.95
2643,2018-02-21 13:10:15-05:00,67.49,67.49,67.49,67.49,30,66.95
2644,2018-02-21 13:10:20-05:00,67.49,67.49,67.49,67.49,0,66.95
2645,2018-02-21 13:10:25-05:00,67.49,67.49,67.49,67.49,0,66.95
2646,2018-02-21 13:10:30-05:00,67.5,67.5,67.5,67.5,20,66.95
2647,2018-02-21 13:10:35-05:00,67.5,67.5,67.5,67.5,0,66.95
2648,2018-02-21 13:10:40-05:00,67.5,67.5,67.5,67.5,0,66.95
2649,2018-02-21 13:10:45-05:00,67.5,67.5,67.5,67.5,0,66.95
2650,2018-02-21 13:10:50-05:00,67.5,67.5,67.5,67.5,0,66.95
2651,2018-02-21 13:10:55-05:00,67.5,67.5,67.5,67.5,0,66.95
2652,2018-02-21 13:11:00-05:00,67.53,67.53,67.53,67.53,10,66.95
2653,2018-02-21 13:11:05-05:00,67.52,67.52,67.54,67.52,27,66.95
2654,2018-02-21 13:11:10-05:00,67.52,67.52,67.52,67.52,0,66.95
2655,2018-02-21 13:11:15-05:00,67.52,67.52,67.52,67.52,0,66.95
2656,2018-02-21 13:11:20-05:00,67.52,67.52,67.52,67.52,0,66.95
2657,2018-02-21 13:11:25-05:00,67.52,67.52,67.52,67.52,0,66.95
2658,2018-02-21 13:11:30-05:00,67.52,67.52,67.52,67.52,55,66.95
2659,2018-02-21 13:11:35-05:00,67.53,67.53,67.53,67.53,75,66.95
2660,2018-02-21 13:11:40-05:00,67.53,67.53,67.53,67.53,30,66.95
2661,2018-02-21 13:11:45-05:00,67.53,67.53,67.53,67.53,0,66.95
2662,2018-02-21 13:11:50-05:00,67.53,67.53,67.53,67.53,0,66.95
2663,2018-02-21 13:11:55-05:00,67.53,67.53,67.53,67.53,0,66.95
2664,2018-02-21 13:12:00-05:00,67.52,67.52,67.52,67.52,15,66.95
2665,2018-02-21 13:12:05-05:00,67.53,67.53,67.53,67.53,60,66.95
2666,2018-02-21 13:12:10-05:00,67.53,67.53,67.53,67.53,0,66.95
2667,2018-02-21 13:12:15-05:00,67.53,67.53,67.53,67.53,0,66.95
2668,2018-02-21 13:12:20-05:00,67.54,67.54,67.54,67.54,5,66.95
2669,2018-02-21 13:12:25-05:00,67.55,67.55,67.55,67.55,40,66.95
2670,2018-02-21 13:12:30-05:00,67.55,67.55,67.55,67.55,5,66.95
2671,2018-02-21 13:12:35-05:00,67.55,67.55,67.55,67.55,0,66.95
2672,2018-02-21 13:12:40-05:00,67.55,67.55,67.55,67.55,0,66.95
2673,2018-02-21 13:12:45-05:00,67.55,67.55,67.55,67.55,0,66.95
2674,2018-02-21 13:12:50-05:00,67.54,67.54,67.54,67.54,75,66.95
